Title,Description,Link,Ensemble Classification
Household Expenditures Research Paper Series,"This series provides detailed documentation on the issues, concepts, methodology, data quality and other relevant research related to household expenditures from the Survey of Household Spending, the Homeowner Repair and Renovation Survey and the Food Expenditure Survey. ",https://www150.statcan.gc.ca/n1/en/catalogue/62f0026m,Consumption
Fruit and vegetable consumption,"Low frequency of fruit and vegetable consumption is associated with other risky health behaviours or conditions, such as physical inactivity, smoking, obesity and alcohol-dependence. Women reported eating fruit and vegetables more often than did men. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x20010036103,Consumption
Sodium consumption at all ages,"This article examines the amount of sodium that Canadians consume by age and sex, and compare it to recommended levels of sodium intake. The main sources of sodium are considered. Comparisons are made with daily sodium intake in the United States. The data are from the 2004 Canadian Community Health Survey. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x20060049608,Consumption
Canadians' eating habits,"This article is an overview of Canadians' eating habits: total calories consumed and the number of servings from the various food groups, as well as the percentage of total calories from fat, protein and carbohydrates. The data are from the 2004 Canadian Community Health Survey. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x20060049609,Consumption
Obesity and the eating habits of the Aboriginal population,This article compares rates of overweight/obesity and obesity and food consumption patterns of off-reserve Aboriginal and non-Aboriginal people aged 19 to 50 in Ontario and the western provinces. The data are from the 2004 Canadian Community Health Survey: Nutrition. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200800110487,Consumption
Under-reporting of energy intake in the Canadian Community Health Survey,"Data from 16,190 respondents to the 2004 Canadian Community Health Survey - Nutrition were used to estimate under-reporting of food intake for the population aged 12 or older in the 10 provinces. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200800410703,Consumption
Beverage consumption of children and teens,"This article is an overview of beverage consumption by Canadian children and teens aged 1 to 18. It examines the quantity and type of beverages consumed, differences by age and gender, and beverages' contribution to calorie and nutrient intake. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200800410715,Consumption
Beverage consumption of Canadian adults,"This article is an overview of beverage consumption among Canadians aged 19 or older. The analysis examines the type and quantity of beverages consumed, highlighting differences by age and sex. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200800410716,Consumption
Diet quality in Canada,"Because nutrition recommendations in Canada and the United States are similar, the American Healthy Eating Index can be adapted to the Canadian situation. This article presents an adaptation of that index and outlines results for Canada based on data from the 2004 Canadian Community Health Survey - Nutrition. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200900310914,Consumption
Diet composition and obesity among Canadian adults,"This study examines the association between obesity and the relative percentages of fats, carbohydrates, protein and fibre in the diets of Canadians. The data are from the 2004 Canadian Community Health Survey - Nutrition. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200900410933,Consumption
Vitamin D status of Canadians as measured in the 2007 to 2009 Canadian Health Measures Survey,This study identifies population groups that are likely to have lower concentrations of vitamin D and factors associated with vitamin D status. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x201000111131,Consumption
Sugar consumption among Canadians of all ages,This article describes dietary intake of sugar in a nationally representative sample of Canadian children and adults. Nutritional information was collected via a 24-hour dietary recall as part of the 2004 Canadian Community Health Survey (CCHS)-Nutrition. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x201100311540,Consumption
Combining nutrient intake from food/beverages and vitamin/mineral supplements,This article describes methods for combining food and supplement intake of a given nutrient. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x201000411350,Consumption
"Trends and correlates of frequency of fruit and vegetable consumption, 2007 to 2014","Based on annual data from the Canadian Community Health Survey, the analysis describes trends in the frequency of fruit and vegetable intake among Canadians aged 12 or older from 2007 to 2014. The contribution of 100% pure fruit juice to these trends is also explored.",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-X201800154901,Consumption
Nutrition: Findings from the Canadian Community Health Survey,"This publication presents a series of research articles based on cross-sectional data collected from Cycle 2.2 of the Canadian Community Health Survey, focusing on Nutrition. It also provides links to tables, other research articles and information about the survey. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-620-m,Consumption
Overview of Canadians' Eating Habits,"This report presents the results of the 2004 Canadian Community Health Survey on nutrition. It takes a comprehensive look at what Canadians are eating: how many calories they consume; whether they get an adequate number of servings of vegetables and fruit, milk products, meat and alternative and grain products, as recommended in Canada's Food Guide to Healthy Eating for People Four Years Old and Over; and what percentage of their diet consists of proteins, fats and carbohydrates. The report also compares CCHS nutrition data with the conclusions of the 1970-1972 Nutrition Canada Survey. In addition, it examines regional and economic differences in consumption patterns. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-620-m2006002,Consumption
Fruit and vegetable consumption 2008,"Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201000111101,Consumption
Vitamin D status of Canadians 2007 to 2009,Most Canadians have vitamin D levels adequate for bone health. Women are more likely than men to have adequate vitamin D levels. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201000111137,Consumption
"Fruit and vegetable consumption, 2010","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201100111461,Consumption
"Fruit and vegetable consumption, 2009","This is a Health fact sheet about fruit and vegetable consumption amoung Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201000211259,Consumption
"Fruit and vegetable consumption, 2011","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201200111661,Consumption
"Vitamin B12 status of Canadians, 2009 to 2011",This health fact sheet presents information about the level of vitamin B12 in Canadians aged 3 to 79 by age group and sex. The results shown are based on data from the Canadian Health Measures Survey. ,https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201200111731,Consumption
"Fruit and vegetable consumption, 2012","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201300111837,Consumption
"Fruit and vegetable consumption, 2013","Abstract: This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201400114018,Consumption
"Fruit and vegetable consumption, 2014"," This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-x201500114182,Consumption
"Fruit and vegetable consumption, 2015","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201700114764,Consumption
"Nutrient intakes from food, 2015","This is a health fact sheet about the nutrient intakes from food among Canadians aged one year and older. The results shown are based on data from the Canadian Community Health Survey – Nutrition, 2015 and 2004.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201700114830,Consumption
"Use of nutritional supplements, 2015","This is a health fact sheet about the use of nutritional supplements among Canadians aged one year and older. The results shown are based on data from the Canadian Community Health Survey – Nutrition, 2015 and 2004.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201700114831,Consumption
"Fruit and vegetable consumption, 2016","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201700154860,Consumption
Fork in the road: Canadian agriculture and food on the move,"Food is as much a necessity as the air we breathe and the water we drink. But do we know where our food comes from, and what it takes to get it into our kitchens? The question of where our food is grown or processed is coming under increased scrutiny, not just in Canada but in other countries, including our trading partners. Concerns underlying this increased focus include discussions of energy consumption required for food transport, environmental concerns, product safety, food security and food costs. The article, Fork in the Road, takes a look at the trade in food and shows how Canadians can find out what foods are being produced in their local area. ",https://www150.statcan.gc.ca/n1/en/catalogue/96-325-x200700010646,Consumption
Methodological challenges in analyzing nutrition data from the Canadian Community Health Survey - Nutrition,"Statistics Canada conducted the Canadian Community Health Survey - Nutrition in 2004. The survey's main objective was to estimate the distributions of Canadians' usual dietary intake at the provincial level for 15 age-sex groups. Such distributions are generally estimated with the SIDE application, but with the choices that were made concerning sample design and method of estimating sampling variability, obtaining those estimates is not a simple matter. This article describes the methodological challenges in estimating usual intake distributions from the survey data using SIDE. ",https://www150.statcan.gc.ca/n1/en/catalogue/11-522-x200600110394,Consumption
Impact of telephone versus face to face repeat 24-hour recall interviews on food and nutrition surveys,"Many population surveys collecting food consumption data use 24 hour recall methodology to capture detailed one day intakes. In order to estimate longer term intakes of foods and nutrients from these data, methods have been developed that required a repeat recall to be collected from at least a subset of responders in order to estimate day to day variability. During the Canadian Community Health Survey Cycle 2.2 Nutrition Focus Survey, most first interviews were collected in person and most repeat interviews were conducted by telephone. This paper looks at the impact of the mode of interview on the reported foods and nutrients on both the first day and the repeat day and on the estimation of intra individual variability between the first and the second interviews. ",https://www150.statcan.gc.ca/n1/en/catalogue/11-522-x200600110422,Consumption
Survey of Household Spending 2009: Data Quality Indicators,"This report describes the quality indicators produced for the 2009 Survey of Household Spending. These quality indicators, such as coefficients of variation, nonresponse rates, slippage rates and imputation rates, help users interpret the survey data.",https://www150.statcan.gc.ca/n1/en/catalogue/62F0026M2011001,Consumption
"User Guide for the Survey of Household Spending, 2016",This guide presents information of interest to users of data from the Survey of Household Spending (SHS). It includes descriptions of the survey terms and variables definitions as well as of the survey methodology and data quality. The guide also includes a section describing various examples of estimates that can be drawn from the survey data.,https://www150.statcan.gc.ca/n1/en/catalogue/62f0026m2017002,Consumption
Impact of identifying plausible respondents on the under-reporting of energy intake in the Canadian Community Health Survey,"A 24-hour dietary recall from 16,190 respondents aged 12 or older to the Canadian Community Health Survey - Nutrition was used to determine energy and nutrient intake. To identify plausible respondents, a confidence interval was applied to total energy expenditure derived from equations developed by the Institute of Medicine. Estimates of energy and nutrient intake for plausible respondents were compared with estimates for all respondents. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x200800410704,Consumption
A surveillance tool to assess diets according to Eating Well with Canada's Food Guide,"A surveillance tool was developed to assess dietary intake collected by surveys in relation to Eating Well with Canada's Food Guide (CFG). The tool classifies foods in the Canadian Nutrient File (CNF) according to how closely they reflect CFG. This article describes the validation exercise conducted to ensure that CNF foods determined to be ""in line with CFG"" were appropriately classified. ",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-x201501114243,Consumption
Change in total sugars consumption among Canadian children and adults,"The objective of this analysis was to describe the Canadian population's dietary intakes of total sugars in 2015, and compare these results with estimates from 2004. Data are from the 2004 and 2015 Canadian Community Health Survey-Nutrition.",https://www150.statcan.gc.ca/n1/en/catalogue/82-003-X201900100002,Consumption
Eating out – How often and why,"Eating out at restaurants or purchasing takeout food simplifies life for many Canadians. This infographic uses data from the 2016 General Social Survey on Canadians at Work and Home to provide an overview of Canadians’ habits when eating out and purchasing takeout food. Concepts presented include the frequency that Canadians eat out or purchase takeout food, the main reasons for doing so, which meals are eaten out most often, and whether nutrition information influences people’s purchasing decisions.",https://www150.statcan.gc.ca/n1/en/catalogue/11-627-M2019003,Consumption
Eating out: Nutrition information on menus and menu boards,"Being able to make informed food choices benefits the health and well-being of Canadians. As a follow-up to ""Eating out – How often and why"", this infographic continues using data from the 2016 General Social Survey on Canadians at Work and Home. It looks more closely at the food habits of Canadians, including how often they report the availability of nutritional information on menus and menu boards, as well as the effect this information has on their purchasing decisions.",https://www150.statcan.gc.ca/n1/en/catalogue/11-627-M2019004,Consumption
A surveillance tool to assess diets according to Eating Well with Canada’s Food Guide, A surveillance tool was developed to assess dietary intake collected by surveys in relation to Eating Well with Canada’s Food Guide (CFG). The tool classifies foods in the Canadian...Description: A surveillance tool was developed to assess dietary intake collected by surveys in relation to Eating Well with Canada’s Food Guide (CFG). The tool classifies foods in the Canadian Nutrient File (CNF) according to how closely they reflect CFG. This article describes the validation exercise conducted to ensure that CNF foods determined to be “in line with CFG” were appropriately classified.More,https://www150.statcan.gc.ca/n1/pub/82-003-x/2015011/article/14243-eng.htm,Consumption
"""Can I Help You?"": The Rise in Household Spending on Services Archived"," Consumer expenditures by households are increasingly a driving force behind economic growth, and are affected by several factors. Consumer tastes can shift over time, as new...Description: Consumer expenditures by households are increasingly a driving force behind economic growth, and are affected by several factors. Consumer tastes can shift over time, as new commodities are introduced and others become outdated. Changes in the demographic, economic and social characteristics of consumers can also affect consumer preferences, as can shifts in the relative prices, utilities and quality levels of various goods and services. Based on Family Expenditure Survey data for both 1986 and 1996, this study examines how the household consumption of services has shifted over the past decade. Particular attention is paid to spending on: communications services; finance and real estate services; food and beverage services; traveler accommodation services; amusement and recreation services; and personal and household services. Insights are also provided on why household spending patterns for specific service commodities have changed from 1986 to 1996.More",https://www150.statcan.gc.ca/n1/pub/63f0002x/63f0002x1999021-eng.pdf,Consumption
Canadians' eating habits Archived," This article is an overview of Canadians' eating habits: total calories consumed and the number of servings from the various food groups, as well as the percentage of total calories...Description: This article is an overview of Canadians' eating habits: total calories consumed and the number of servings from the various food groups, as well as the percentage of total calories from fat, protein and carbohydrates. The data are from the 2004 Canadian Community Health Survey.More",https://www150.statcan.gc.ca/n1/pub/82-003-x/2006004/article/9609-eng.htm,Consumption
"Caring Canadians, Involved Canadians: Highlights from the Canada Survey of Giving, Volunteering and Participating"," This report offers highlights from the 2007 Canada Survey of Giving, Volunteering, and Participating (CSGVP) which was undertaken to better understand how Canadians support individuals...Description: This report offers highlights from the 2007 Canada Survey of Giving, Volunteering, and Participating (CSGVP) which was undertaken to better understand how Canadians support individuals and communities on their own or through their involvement with charitable and non-profit organizations. For this survey, thousands of Canadians aged 15 and over were asked how they: gave money and other resources to individuals and to organizations; volunteered time to help others and to enhance their communities; and participated in the practices which help give substance to active citizenship. The results from this survey allow this report to tell a story about who Canada's volunteers and charitable donors are and the ways in which they contribute to our society.More",https://www150.statcan.gc.ca/n1/en/catalogue/71-542-X,Consumption
Change in total sugars consumption among Canadian children and adults," The objective of this analysis was to describe the Canadian population's dietary intakes of total sugars in 2015, and compare these results with estimates from 2004. Data are from the...Description: The objective of this analysis was to describe the Canadian population's dietary intakes of total sugars in 2015, and compare these results with estimates from 2004. Data are from the 2004 and 2015 Canadian Community Health Survey-Nutrition.More",https://www150.statcan.gc.ca/n1/pub/82-003-x/2019001/article/00002-eng.htm,Consumption
Combining nutrient intake from food/beverages and vitamin/mineral supplements Archived, This article describes methods for combining food and supplement intake of a given nutrient.,https://www150.statcan.gc.ca/n1/pub/82-003-x/2010004/article/11350-eng.htm,Consumption
Diet composition and obesity among Canadian adults Archived," This study examines the association between obesity and the relative percentages of fats, carbohydrates, protein and fibre in the diets of Canadians. The data are from the 2004...Description: This study examines the association between obesity and the relative percentages of fats, carbohydrates, protein and fibre in the diets of Canadians. The data are from the 2004 Canadian Community Health Survey - Nutrition.More",https://www150.statcan.gc.ca/n1/pub/82-003-x/2009004/article/10933-eng.htm,Consumption
Eating out – How often and why," Eating out at restaurants or purchasing takeout food simplifies life for many Canadians. This infographic uses data from the 2016 General Social Survey on Canadians at Work and Home to...Description: Eating out at restaurants or purchasing takeout food simplifies life for many Canadians. This infographic uses data from the 2016 General Social Survey on Canadians at Work and Home to provide an overview of Canadians’ habits when eating out and purchasing takeout food. Concepts presented include the frequency that Canadians eat out or purchase takeout food, the main reasons for doing so, which meals are eaten out most often, and whether nutrition information influences people’s purchasing decisions.More",https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2019003-eng.htm,Consumption
Eating out: Nutrition information on menus and menu boards," Being able to make informed food choices benefits the health and well-being of Canadians. As a follow-up to ""Eating out – How often and why"", this infographic continues using data from...Description: Being able to make informed food choices benefits the health and well-being of Canadians. As a follow-up to ""Eating out – How often and why"", this infographic continues using data from the 2016 General Social Survey on Canadians at Work and Home. It looks more closely at the food habits of Canadians, including how often they report the availability of nutritional information on menus and menu boards, as well as the effect this information has on their purchasing decisions.More",https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2019004-eng.htm,Consumption
Examining survey participation and response quality: The significance of topic salience and incentives Archived," Nonresponse bias has been a long-standing issue in survey research (Brehm 1993; Dillman, Eltinge, Groves and Little 2002), with numerous studies seeking to identify factors that affect...Description: Nonresponse bias has been a long-standing issue in survey research (Brehm 1993; Dillman, Eltinge, Groves and Little 2002), with numerous studies seeking to identify factors that affect both item and unit response. To contribute to the broader goal of minimizing survey nonresponse, this study considers several factors that can impact survey nonresponse, using a 2007 Animal Welfare Survey Conducted in Ohio, USA. In particular, the paper examines the extent to which topic salience and incentives affect survey participation and item nonresponse, drawing on the leverage-saliency theory (Groves, Singer and Corning 2000). We find that participation in a survey is affected by its subject context (as this exerts either positive or negative leverage on sampled units) and prepaid incentives, which is consistent with the leverage-saliency theory. Our expectations are also confirmed by the finding that item nonresponse, our proxy for response quality, does vary by proximity to agriculture and the environment (residential location, knowledge about how food is grown, and views about the importance of animal welfare). However, the data suggests that item nonresponse does not vary according to whether or not a respondent received incentives.More",https://www150.statcan.gc.ca/n1/pub/12-001-x/2010001/article/11252-eng.pdf,Consumption
Fork in the road: Canadian agriculture and food on the move Archived," Food is as much a necessity as the air we breathe and the water we drink. But do we know where our food comes from, and what it takes to get it into our kitchens? The question of where...Description: Food is as much a necessity as the air we breathe and the water we drink. But do we know where our food comes from, and what it takes to get it into our kitchens? The question of where our food is grown or processed is coming under increased scrutiny, not just in Canada but in other countries, including our trading partners. Concerns underlying this increased focus include discussions of energy consumption required for food transport, environmental concerns, product safety, food security and food costs. The article, Fork in the Road, takes a look at the trade in food and shows how Canadians can find out what foods are being produced in their local area.More",https://www150.statcan.gc.ca/n1/pub/96-325-x/2007000/article/10646-eng.htm,Consumption
Fruit and vegetable consumption Archived," Low frequency of fruit and vegetable consumption is associated with other risky health behaviours or conditions, such as physical inactivity, smoking, obesity and alcohol-dependence....Description: Low frequency of fruit and vegetable consumption is associated with other risky health behaviours or conditions, such as physical inactivity, smoking, obesity and alcohol-dependence. Women reported eating fruit and vegetables more often than did men.More",https://www150.statcan.gc.ca/n1/pub/82-003-x/2001003/article/6103-eng.pdf,Consumption
Fruit and vegetable consumption 2008 Archived," Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer.",https://www150.statcan.gc.ca/n1/pub/82-625-x/2010001/article/11101-eng.htm,Consumption
"Fruit and vegetable consumption, 2009 Archived"," This is a Health fact sheet about fruit and vegetable consumption amoung Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times...Description: This is a Health fact sheet about fruit and vegetable consumption amoung Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2010002/article/11259-eng.htm,Consumption
"Fruit and vegetable consumption, 2010 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2011001/article/11461-eng.htm,Consumption
"Fruit and vegetable consumption, 2011 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2012001/article/11661-eng.htm,Consumption
"Fruit and vegetable consumption, 2012 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2013001/article/11837-eng.htm,Consumption
"Fruit and vegetable consumption, 2013 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2014001/article/14018-eng.htm,Consumption
"Fruit and vegetable consumption, 2014 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The data are based on a Canadian Community Health Survey question that measured the...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2015001/article/14182-eng.htm,Consumption
"Fruit and vegetable consumption, 2015 Archived"," This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/14764-eng.htm,Consumption
"Fruit and vegetable consumption, 2016"," This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that...Description: This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/54860-eng.htm,Consumption
"Fruit and vegetable consumption, 2017"," This is a Health Fact Sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that...Description: This is a Health Fact Sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2019001/article/00004-eng.htm,Consumption
Household Expenditures Research Paper Series," This series provides detailed documentation on the issues, concepts, methodology, data quality and other relevant research related to household expenditures from the Survey of...Description: This series provides detailed documentation on the issues, concepts, methodology, data quality and other relevant research related to household expenditures from the Survey of Household Spending, the Homeowner Repair and Renovation Survey and the Food Expenditure Survey.More",https://www150.statcan.gc.ca/n1/en/catalogue/62F0026M,Consumption
How Canadians spent their money in 2016," This infographic highlights some of the information provided by the 2016 Survey of Household Spending. For example, it presents the annual average spending on public transportation...Description: This infographic highlights some of the information provided by the 2016 Survey of Household Spending. For example, it presents the annual average spending on public transportation across Canada, shelter costs for owners and renters, as well as the proportion of Canadian households’ food budget spent on restaurant meals. It also shows how Canadian households allocated their budgets to various goods and services.More",https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2017040-eng.htm,Consumption
Impact of identifying plausible respondents on the under-reporting of energy intake in the Canadian Community Health Survey Archived," A 24-hour dietary recall from 16,190 respondents aged 12 or older to the Canadian Community Health Survey - Nutrition was used to determine energy and nutrient intake. To identify...Description: A 24-hour dietary recall from 16,190 respondents aged 12 or older to the Canadian Community Health Survey - Nutrition was used to determine energy and nutrient intake. To identify plausible respondents, a confidence interval was applied to total energy expenditure derived from equations developed by the Institute of Medicine. Estimates of energy and nutrient intake for plausible respondents were compared with estimates for all respondents.More",https://www150.statcan.gc.ca/n1/pub/82-003-x/2008004/article/10704-eng.htm,Consumption
Impact of telephone versus face to face repeat 24-hour recall interviews on food and nutrition surveys Archived," Many population surveys collecting food consumption data use 24 hour recall methodology to capture detailed one day intakes. In order to estimate longer term intakes of foods and...Description: Many population surveys collecting food consumption data use 24 hour recall methodology to capture detailed one day intakes. In order to estimate longer term intakes of foods and nutrients from these data, methods have been developed that required a repeat recall to be collected from at least a subset of responders in order to estimate day to day variability. During the Canadian Community Health Survey Cycle 2.2 Nutrition Focus Survey, most first interviews were collected in person and most repeat interviews were conducted by telephone. This paper looks at the impact of the mode of interview on the reported foods and nutrients on both the first day and the repeat day and on the estimation of intra individual variability between the first and the second interviews.More",https://www150.statcan.gc.ca/n1/pub/11-522-x/2006001/article/10422-eng.pdf,Consumption
"Nutrient intakes from food, 2015 Archived"," This is a health fact sheet about the nutrient intakes from food among Canadians aged one year and older. The results shown are based on data from the Canadian Community Health Survey...Description: This is a health fact sheet about the nutrient intakes from food among Canadians aged one year and older. The results shown are based on data from the Canadian Community Health Survey – Nutrition, 2015 and 2004.More",https://www150.statcan.gc.ca/n1/pub/82-625-x/2017001/article/14830-eng.htm,Consumption
Obesity and the eating habits of the Aboriginal population Archived, This article compares rates of overweight/obesity and obesity and food consumption patterns of off-reserve Aboriginal and non-Aboriginal people aged 19 to 50 in Ontario and the western...Description: This article compares rates of overweight/obesity and obesity and food consumption patterns of off-reserve Aboriginal and non-Aboriginal people aged 19 to 50 in Ontario and the western provinces. The data are from the 2004 Canadian Community Health Survey: Nutrition.More,https://www150.statcan.gc.ca/n1/pub/82-003-x/2008001/article/10487-eng.htm,Consumption
"Protein sources in the Canadian diet, 2015"," This infographic presents results from the 2015 Canadian Community Health Survey – Nutrition, relating to protein sources in the Canadian diet.",https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2018004-eng.htm,Consumption
Regression weighting in the presence of nonresponse with application to the 1987-1988 Nationwide Food Consumption Survey Archived, A regression weight generation procedure is applied to the 1987-1988 Nationwide Food Consumption Survey of the U.S. Department of Agriculture. Regression estimation was used because of...Description: A regression weight generation procedure is applied to the 1987-1988 Nationwide Food Consumption Survey of the U.S. Department of Agriculture. Regression estimation was used because of the large nonresponse in the survey. The regression weights are generalized least squares weights modified so that all weights are positive and so that large weights are smaller than the least squares weights. It is demonstrated that the regression estimator has the potential for large reductions in mean square error relative to the simple direct estimator in the presence of nonresponse.More,https://www150.statcan.gc.ca/n1/pub/12-001-x/1994001/article/14429-eng.pdf,Consumption
Rural and Urban Household Expenditure Patterns for 1996 Archived," A defining feature of rural populations is that they are distant from major metropolitan centres. Thus, households in rural areas have different needs than those in urban areas and...Description: A defining feature of rural populations is that they are distant from major metropolitan centres. Thus, households in rural areas have different needs than those in urban areas and, therefore, different spending patterns. In 1996, the total expenditure of an average Canadian household was $49,054. Rural households spent an average of $42,620 while urban households had an average spending of $50,283. This article gives an overview of the differences and similarities in the spending patterns of rural and urban households.More",https://www150.statcan.gc.ca/n1/pub/21-006-x/21-006-x1998004-eng.pdf,Consumption
