Description,Link,Title
" This table contains 6892 series, with data for years 1980 - 2004 (not all combinations necessarily have data for all years). This table contains data described by the...Description: This table contains 6892 series, with data for years 1980 - 2004 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Country or area of origin (26 items: All countries; European Union 1995; Other Organization for Economic Co-operation and Development countries (excluding the European Union 1995, United States of America and Japan); Other countries (excluding the European Union 1995,other Organization for Economic Co-operation and Development countries, United States of America and Japan); ...); Summary import groups (SIG) and other aggregations (266 items: Total imports; Total live animals; Total food, feed, beverages and tobacco; Meat and meat preparations; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210007401,"Imports, by summary import groups (SIG) and other aggregations, by countries or areas of origin, customs basis not seasonally adjusted Archived"
" This table contains 5992 series, with data for years 1963 - 1987 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 5992 series, with data for years 1963 - 1987 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada)  Country or areas of origin (26 items: All countries; European Economic Community (1986) (E.E.C.); Other Organisation for Economic Co-operation and Development countries (excluding European Economic Community (86) (E.E.C.), United States and Japan); Other America (excluding United States); ...)  Summary import groups (SIG) and other aggregations (267 items: Total imports; Total live animals; Total food, feed, beverages and tobacco; Meat and meat preparations; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210008101,"Imports, by summary import groups (SIG) and other aggregations, by selected countries or areas of origin, customs basis not seasonally adjusted Archived"
" Quarterly labour productivity and related measures,  by major industrial sectors for the business sector (15 two-digit North American Industry Classification System (NAICS) industries)...Description: Quarterly labour productivity and related measures,  by major industrial sectors for the business sector (15 two-digit North American Industry Classification System (NAICS) industries) and two sectors (goods-producing businesses and service-producing businesses), as well as for the total economy and the non-business sector, indexes.  More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610020701,"Indexes of labour productivity and related measures, by business sector industry, seasonally adjusted"
" This table contains 1998 series, with data for years 1946 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains...Description: This table contains 1998 series, with data for years 1946 - 2001 (not all combinations necessarily have data for all years), and was last released on 2007-03-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Labour productivity measures and related measures (9 items: Real value added; Total number of jobs; Annual average number of hours worked for all jobs; Hours worked for all jobs ...), Industries, by aggregation (222 items: Total economy; special aggregation; Business sector - goods; special aggregation; Business sector - services; special aggregation; Business sector; special aggregation ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610030501,"Indexes of labour productivity and related variables, by industry according to the Canadian System of National Accounts Archived"
" Quarterly data, by North American Industry Classification System (NAICS). ",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610010901,"Industrial capacity utilization rates, by industry"
" This table contains 38 series, with data for years 1962 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 38 series, with data for years 1962 - 2001 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Unit of measure (1 items: Percent ...), Geography (1 items: Canada ...), Standard Industrial Classification, 1980 (SIC) (38 items: Mining and quarrying industries;Mining; quarrying and oil well industries;Logging and forestry industries;Total non-farm goods producing industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610011101,"Industrial capacity utilization rates, by Standard Industrial Classification, 1980 (SIC) Archived"
" This table contains 94976 series, with data for years 2014 - 2015 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 94976 series, with data for years 2014 - 2015 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada)  North American Industry Classification System (NAICS) (75 items: Total all industries; Agriculture, forestry, fishing and hunting; Agriculture (except aquaculture) and support activities for crop production and animal production; Forestry, logging and support activities for forestry; ...)  Country of control (3 items: Total country of control; Canada; Foreign)  Energy technology (53 items: Total energy technologies; Fossil fuels; Crude oils and natural gas exploration; Crude oils and natural gas production and storage; ...)  Energy-related research and development expenditures (8 items: Total in-house energy-related research and development expenditures; Funded by research and development performing companies (Canada); Funded by federal, provincial or territorial governments; Funded by all other Canadian sources; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2710034701,"Industrial energy research and development expenditures by area of technology, by industry group based on the North American Industry Classification System (NAICS) and country of control"
" This table contains 289 series, with data for years 1956 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains...Description: This table contains 289 series, with data for years 1956 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data described by the following dimensions (Not all combinations are available): Geography (6 items: Canada; Ontario; Atlantic Region; Quebec ...), Commodities (279 items: Meat; fish and dairy products; Meat products; Beef; veal; mutton and pork; fresh or frozen; Primary meat products ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810014601,"Industrial price indexes for food, beverages, tobacco, meat, dairy and fish products industries Archived"
" Industrial product price index (IPPI) by industry, by North American Industry Classification System (NAICS). Monthly data are available from January 1956. The table presents data for...Description: Industrial product price index (IPPI) by industry, by North American Industry Classification System (NAICS). Monthly data are available from January 1956. The table presents data for the most recent reference period and the last four periods. The base period for the index is (2010=100).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810003201,"Industrial product price index, by industry, monthly"
" Industrial product price index (IPPI) by industry, by North American Industry Classification System (NAICS). Monthly data are available from February 1956. The table presents...Description: Industrial product price index (IPPI) by industry, by North American Industry Classification System (NAICS). Monthly data are available from February 1956. The table presents month-over-month and year-over-year percentage changes for various aggregation levels. The base period for the index is (2010=100).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810003202,"Industrial product price index, by industry, percentage change, monthly"
" Industrial product price index (IPPI), by major product group by North American Product Classification System (NAPCS). Monthly data are available from January 1956. The table presents...Description: Industrial product price index (IPPI), by major product group by North American Product Classification System (NAPCS). Monthly data are available from January 1956. The table presents data for the most recent reference period and the last four periods. The base period for the index is (2010=100).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810002901,"Industrial product price index, by major product group, monthly"
 Industrial product price index (IPPI) by North American Product Classification System (NAPCS). Monthly data are available from February 1956. The table presents month-over-month and...Description: Industrial product price index (IPPI) by North American Product Classification System (NAPCS). Monthly data are available from February 1956. The table presents month-over-month and year-over-year percentage changes for various aggregation levels. The base period for the index is (2010=100).More,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810002902,"Industrial product price index, by major product group, percentage change, monthly"
" Industrial product price index (IPPI), by product by North American Product Classification System (NAPCS). Monthly data are available from January 1956. The table presents data for the...Description: Industrial product price index (IPPI), by product by North American Product Classification System (NAPCS). Monthly data are available from January 1956. The table presents data for the most recent reference period and the last four periods. The base period for the index is (2010=100).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810003001,"Industrial product price index, by product, monthly"
" Industrial product price index (IPPI), by product by North American Product Classification System (NAPCS). Monthly data are available from February 1956. The table presents...Description: Industrial product price index (IPPI), by product by North American Product Classification System (NAPCS). Monthly data are available from February 1956. The table presents month-over-month and year-over-year percentage changes for various aggregation levels. The base period for the index is (2010=100).    More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810003002,"Industrial product price index, by product, percentage change, monthly"
" This table contains 288 series, with data for years 1956 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains...Description: This table contains 288 series, with data for years 1956 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data described by the following dimensions (Not all combinations are available): Geography (6 items: Canada; Atlantic Region; Ontario; Quebec ...), Commodities (278 items: Canola oil cake and meal; domestic; Meat products; Primary meat products; Meat; fish and dairy products ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810015601,"Industrial product price indexes for food, beverage, tobacco, meat, dairy and fish products industries Archived"
" This table contains 196 series, with data for years 1956 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains...Description: This table contains 196 series, with data for years 1956 - 1990 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (196 items: Manufacturing industries; Meat and meat products (excluding poultry); Poultry products industry; Food industries ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810016701,"Industrial product price indexes, by industry and industry group (1981=100) Archived"
" This table contains 196 series, with data for years 1956 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains...Description: This table contains 196 series, with data for years 1956 - 1997 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (196 items: Manufacturing industries; Poultry products industry; Food industries; Meat and meat products industry (excluding poultry) ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810015301,"Industrial product price indexes, by industry and industry group (1986=100) Archived"
" This table contains 158 series, with data for years 1919 - 1971 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 158 series, with data for years 1919 - 1971 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Seasonal adjustment (2 items: Unadjusted; Seasonal adjustment ...) Industry (79 items: Index of industrial production; Mines (including milling); quarries and oil wells ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610038501,"Industrial production indexes, by industry Archived"
" This table contains 189 series, with data for years 1919 - 1971 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 189 series, with data for years 1919 - 1971 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Industry (189 items: Index of industrial production; Mines (including milling); quarries and oil wells; Metal mines; Placer gold and gold quartz mines ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610038601,"Industrial production, by industry Archived"
" Industry of employment for adults with disabilities by age group and sex, occasional.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310035401,Industry of employment for adults with disabilities
" This table contains 217 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains...Description: This table contains 217 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (217 items: Meat; fish and dairy products; Beef and veal; fresh or frozen; Primary meat products; Meat products ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810012601,"Industry price indexes for food, meat, fish and dairy products, beverages and tobacco Archived"
" This table contains 217 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains...Description: This table contains 217 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (217 items: Meat; fish and dairy products; Meat products; Primary meat products; Beef and veal; fresh or frozen ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810018001,"Industry price indexes for meat, fish and dairy products, fruits, vegetables and feeds, beverages and tobacco (1997=100) Archived"
" This table contains 211 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains...Description: This table contains 211 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (211 items: Meat; fish and dairy products; Primary meat products; Beef and veal; fresh or frozen; Meat products ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810019901,"Industry price indexes for meat, fish and dairy products, fruits, vegetables and feeds, beverages and tobacco (2002=100) Archived"
" This table contains 215 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 215 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (215 items: Primary metal products; Iron and steel products; Primary steel products; Ferrosilicon ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810020301,Industry price indexes for primary metal products and fabricated metal products (2002=100) Archived
" This table contains 199 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains...Description: This table contains 199 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Industry and industry group (199 items: All manufacturing industries; Non-food (including alcoholic beverages) industries; All manufacturing industries excluding food and beverage industries; Food and beverage industries excluding alcoholic beverages ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810012401,"Industry price indexes, by industry and industry group Archived"
" This table contains 23 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains data...Description: This table contains 23 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (23 items: Total; all commodities; Fruit; vegetable; feeds and other food products; Meat; fish and dairy products; Total; excluding petroleum and coal products ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810019601,"Industry price indexes, by major commodity aggregations Archived"
" This table contains 192 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains...Description: This table contains 192 series, with data for years 1956 - 2001 (not all combinations necessarily have data for all years), and was last released on 2001-10-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (192 items: Total; all commodities; Total; excluding petroleum and coal products; First stage intermediate goods; Intermediate goods ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810012501,"Industry price indexes, by major commodity aggregations and stage of processing (1992=100) Archived"
" This table contains 192 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains...Description: This table contains 192 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (192 items: Total; all commodities; Total; excluding petroleum and coal products; Intermediate goods; First stage intermediate goods ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810017701,"Industry price indexes, by major commodity aggregations and stage of processing (1997=100) Archived"
" This table contains 247 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains...Description: This table contains 247 series, with data for years 1956 - 2010 (not all combinations necessarily have data for all years), and was last released on 2010-09-29. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (247 items: All manufacturing; Food manufacturing; Grain and oilseed milling; Animal food manufacturing ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810017601,"Industry price indexes, by North American Industry Classification System (NAICS) (1997=100) Archived"
" This table contains 247 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains...Description: This table contains 247 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), North American Industry Classification System (NAICS) (247 items: All manufacturing; Animal food manufacturing; Grain and oilseed milling; Food manufacturing ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810019701,"Industry price indexes, by North American Industry Classification System (NAICS) (2002=100) Archived"
" This table contains 191 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains...Description: This table contains 191 series, with data for years 1956 - 2013 (not all combinations necessarily have data for all years), and was last released on 2014-01-06. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Commodities (191 items: Total; all commodities; Intermediate goods; First stage intermediate goods; Meat; fish and dairy products; first stage ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810019801,"Industry price indexes, by stage of processing Archived"
" This table contains 826 series, with data for years 1956 - 1985 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 826 series, with data for years 1956 - 1985 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada)  Industry (826 items: Food and beverage industries; Slaughtering and meat processors; Fresh or frozen, Beef; Fresh or frozen, ground beef and hamburger; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810017201,"Industry selling price indexes, by industry and selected commodities based on the Standard Industrial Classification, 1970 (SIC) Archived"
" This table contains 8 series, with data for years 1956 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data...Description: This table contains 8 series, with data for years 1956 - 1985 (not all combinations necessarily have data for all years), and was last released on 2000-02-18. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Industry (8 items: Total manufacturing industries; Alcoholic beverage industries; Total non-food including alcoholic beverages; Total food and beverage industries; excluding alcoholic beverages ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810017401,"Industry selling price indexes, total manufacturing industries based on the Standard Industrial Classification, 1970 (SIC) Archived"
" Digital technology and Internet use, type of Information and Communication Technology (ICT) use, by North American Industry Classification System (NAICS), size of enterprise and...Description: Digital technology and Internet use, type of Information and Communication Technology (ICT) use, by North American Industry Classification System (NAICS), size of enterprise and Communication Technology (ICT) use for Canada from 2012 to 2013.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2210002001,Information and communication technology use by industry and size of enterprise
" The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a...Description: The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a given industry. They provide a measure of the interdependence between an industry and the rest of the economy. The national multipliers show the direct, indirect, and induced effects on gross output, the detailed components of GDP, jobs, and imports at the Detail level (236 industries).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610059401,"Input-output multipliers, detail level"
" The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a...Description: The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a given industry. They provide a measure of the interdependence between an industry and the rest of the economy. The provincial/territorial multipliers show the direct, indirect, and induced effects on gross output, the detailed components of GDP, jobs, and imports at the Detail level (236 industries).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610059501,"Input-output multipliers, provincial and territorial, detail level"
" The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a...Description: The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a given industry. They provide a measure of the interdependence between an industry and the rest of the economy. The provincial/territorial multipliers show the direct, indirect, and induced effects on gross output, the detailed components of GDP, jobs, and imports at the Summary level (35 industries).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610011301,"Input-output multipliers, provincial and territorial, summary level"
" The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a...Description: The input-output multipliers are derived from the supply and use tables. They are used to assess the effects on the economy of an exogenous change in final demand for the output of a given industry. They provide a measure of the interdependence between an industry and the rest of the economy. The national multipliers show the direct, indirect, and induced effects on output, the detailed components of gross domestic product (GDP), jobs, and imports at the Summary level (35 industries).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610001301,"Input-output multipliers, summary level"
" This table contains 5572 series, with data for years 2009 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains...Description: This table contains 5572 series, with data for years 2009 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada) Final demand categories (279 items: Total, final demand: final expenditure on gross domestic product (GDP); Household consumption expenditure, food; Household consumption expenditure, non-alcoholic beverages; Household consumption expenditure, alcoholic beverages; ...) Commodity (471 items: Total commodities; Canola; Oilseeds (except canola); Wheat; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610041601,"Input-output tables, final demand, detailed level, basic prices Archived"
" This table contains 5662 series, with data for years 2007 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains...Description: This table contains 5662 series, with data for years 2007 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada) Final demand categories (260 items: Total, final demand: final expenditure on gross domestic product (GDP); Household consumption expenditure, food; Household consumption expenditure, non-alcoholic beverages; Household consumption expenditure, alcoholic beverages; ...) Commodity (467 items: Total commodities; Canola; Oilseeds (except canola); Wheat; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610041801,"Input-output tables, final demand, link 1997 level, basic prices Archived"
" This table contains 24844 series, with data for years 2009 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains...Description: This table contains 24844 series, with data for years 2009 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada) Inputs-outputs (2 items: Inputs; Outputs) Industry (236 items: Total industries; Crop production (except greenhouse, nursery and floriculture production); Greenhouse, nursery and floriculture production; Animal production; ...) Commodity (471 items: Total commodities; Canola; Oilseeds (except canola); Wheat; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610041501,"Input-output tables, inputs and outputs, detailed level, basic prices Archived"
" This table contains 21485 series, with data for years 2007 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains...Description: This table contains 21485 series, with data for years 2007 - 2011 (not all combinations necessarily have data for all years), and was last released on 2015-11-10. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada) Inputs-outputs (2 items: Inputs; Outputs) Industry (188 items: Total industries; Crop production (except greenhouse, nursery and floriculture production); Greenhouse, nursery and floriculture production; Animal production; ...) Commodity (467 items: Total commodities; Canola; Oilseeds (except canola); Wheat; ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610041701,"Input-output tables, inputs and outputs, link 1997 level, basic prices Archived"
" This table contains 16020 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 16020 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Inputs-outputs (2 items: Inputs; Outputs ...) North American Industry Classification System (NAICS) (123 items: Total industries; Fishing; hunting and trapping; Forestry and logging; Crop and animal production ...) Commodity (473 items: Total commodities; Cattle and calves; Hogs; Poultry ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610042401,"Inputs and outputs, by industry and commodity, L-level aggregation and North American Industry Classification System (NAICS) Archived"
" This table contains 4162 series, with data for years 1961 - 1997 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4162 series, with data for years 1961 - 1997 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Unit of measure (1 items: Dollars ...) Geography (1 items: Canada ...) Inputs-outputs (2 items: Inputs; Outputs ...) Industry (59 items: Total industries; Logging and forestry industries; Fishing and trapping industries; Agricultural and related services industries ...) Commodity (110 items: Total commodities; Live animals; Other agricultural products; Grains ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610042801,"Inputs and outputs, by industry and commodity, M-level aggregation Archived"
" This table contains 4500 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 4500 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...) Inputs-outputs (2 items: Inputs; Outputs ...) North American Industry Classification System (NAICS) (64 items: Total industries; Fishing; hunting and trapping; Crop and animal production; Forestry and logging ...) Commodity (114 items: Total commodities; Grains; Other agricultural products; Live animals ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040701,"Inputs and outputs, by industry and commodity, M-level aggregation and North American Industry Classification System (NAICS) Archived"
" This table contains 11779 series, with data for years 1961 - 1997 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 11779 series, with data for years 1961 - 1997 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Unit of measure (1 items: Dollars ...) Geography (14 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia ...) Inputs-outputs (2 items: Inputs; Outputs ...) Industry (22 items: Total industries; Fishing and trapping industries; Logging and forestry industries; Agricultural and related services industries ...) Commodity (58 items: Total commodities; Forestry products; Other agricultural products; Grains ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610042701,"Inputs and outputs, by industry and commodity, S-level aggregation Archived"
" This table contains 17196 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following...Description: This table contains 17196 series, with data for years 1961 - 2008 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (16 items: Canada; Prince Edward Island; Nova Scotia; Newfoundland and Labrador ...) Inputs-outputs (2 items: Inputs; Outputs ...) North American Industry Classification System (NAICS) (26 items: Total industries; Forestry and logging; Fishing; hunting and trapping; Crop and animal production ...) Commodity (62 items: Other agricultural products; Grains; Forestry products; Total commodities ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040601,"Inputs and outputs, by industry and commodity, S-level aggregation and North American Industry Classification System (NAICS) Archived"
" Volume of water intake for the manufacturing industries at the 3-digit North American Industry Classification System (NAICS), by type of water treatment, for Canada. The unit of...Description: Volume of water intake for the manufacturing industries at the 3-digit North American Industry Classification System (NAICS), by type of water treatment, for Canada. The unit of measure is millions of cubic metres.More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810005501,"Intake water treatment in manufacturing industries, by industry"
" Annual indexes of price differences between 14 cities in all provinces and territories excluding Nunavut, as of October of the previous year, for a selection of products (goods and...Description: Annual indexes of price differences between 14 cities in all provinces and territories excluding Nunavut, as of October of the previous year, for a selection of products (goods and services) from the Consumer Price Index (CPI) purchased by consumers in each of the 14 cities. The combined city average index is 100.  More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000301,"Inter-city indexes of price differentials of consumer goods and services, annual"
" Electronic commerce and technology, interaction with governments on-line by type of online activitiy and North American Industry Classification System (NAICS)  for Canada from 2005 to...Description: Electronic commerce and technology, interaction with governments on-line by type of online activitiy and North American Industry Classification System (NAICS)  for Canada from 2005 to 2007. (Terminated) More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2210007501,"Interaction with governments on-line, by industry Archived"
" This table contains 44 series, with data for years 1983 - 2011 (not all combinations necessarily have data for all years).  This table contains data described by the following...Description: This table contains 44 series, with data for years 1983 - 2011 (not all combinations necessarily have data for all years).  This table contains data described by the following dimensions (Not all combinations are available): Geography (1 items: Canada ...), Direct Investment (22 items: All industries;Machinery and transportation equipment industry;Energy and metallic minerals industry;Wood and paper industry ...), Canadian and foreign direct investment (2 items: Canadian direct investment abroad;Foreign direct investment in Canada ...).More",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610007401,"International investment position, Canadian direct investment abroad and foreign direct investment in Canada, based on the Standard Industrial Classification for Companies and Enterprises, 1980 (SIC-C) Archived"
